Entity,Code,Year,2.b.1 - Agricultural export subsidies (millions of current United States dollars) - AG_PRD_XSUBDY
Africa (UN),,1995,40660000
Africa (UN),,1996,43500000
Africa (UN),,1997,24290000
Africa (UN),,1998,9960000
Africa (UN),,1999,10930000
Africa (UN),,2000,9480000
Africa (UN),,2001,3810000
Africa (UN),,2002,3280000
Africa (UN),,2003,9640000
Africa (UN),,2004,7280000
Africa (UN),,2005,10130000
Africa (UN),,2006,8500000
Africa (UN),,2007,15750000
Africa (UN),,2008,13290000
Africa (UN),,2009,9960000
Africa (UN),,2010,7650000
Africa (UN),,2011,16460000
Africa (UN),,2012,12720000
Africa (UN),,2013,7980000
Africa (UN),,2014,18250000
Africa (UN),,2015,8279999.999999999
Africa (UN),,2016,19510000
Africa (UN),,2017,19380000
Africa (UN),,2018,25580000
Africa (UN),,2019,24770000
Africa (UN),,2020,10000
Africa (UN),,2021,0
Asia (UN),,1995,52010000
Asia (UN),,1996,45910000
Asia (UN),,1997,60590000
Asia (UN),,1998,41490000
Asia (UN),,1999,50330000
Asia (UN),,2000,48310000
Asia (UN),,2001,48460000
Asia (UN),,2002,45960000
Asia (UN),,2003,49620000
Asia (UN),,2004,53460000
Asia (UN),,2005,69940000
Asia (UN),,2006,52130000
Asia (UN),,2007,74400000
Asia (UN),,2008,104690000
Asia (UN),,2009,146670000
Asia (UN),,2010,54910000
Asia (UN),,2011,77670000
Asia (UN),,2012,68910000
Asia (UN),,2013,58690000
Asia (UN),,2014,31820000
Asia (UN),,2015,30240000
Asia (UN),,2016,32220000
Asia (UN),,2017,36430000
Asia (UN),,2018,22710000
Asia (UN),,2019,29150000
Asia (UN),,2020,0
Asia (UN),,2021,0
Australia,AUS,1995,0
Australia,AUS,1996,0
Australia,AUS,1997,0
Australia,AUS,1998,1260000
Australia,AUS,1999,2410000
Australia,AUS,2000,0
Australia,AUS,2001,0
Australia,AUS,2002,0
Australia,AUS,2003,0
Australia,AUS,2004,0
Australia,AUS,2005,0
Australia,AUS,2006,0
Australia,AUS,2007,0
Australia,AUS,2008,0
Australia,AUS,2009,0
Australia,AUS,2010,0
Australia,AUS,2011,0
Australia,AUS,2012,0
Australia,AUS,2013,0
Australia,AUS,2014,0
Australia,AUS,2015,0
Barbados,BRB,1995,0
Barbados,BRB,1996,0
Barbados,BRB,1997,0
Barbados,BRB,1998,0
Barbados,BRB,1999,0
Barbados,BRB,2000,0
Barbados,BRB,2001,0
Barbados,BRB,2002,0
Barbados,BRB,2003,10000
Barbados,BRB,2004,10000
Barbados,BRB,2005,0
Barbados,BRB,2006,0
Barbados,BRB,2015,0
Barbados,BRB,2016,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0
Brazil,BRA,2013,0
Brazil,BRA,2014,0
Brazil,BRA,2015,0
Brazil,BRA,2016,0
Brazil,BRA,2017,0
Brazil,BRA,2018,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,1490000
Bulgaria,BGR,2005,3460000
Bulgaria,BGR,2006,3630000
Canada,CAN,1995,37480000
Canada,CAN,1996,4260000
Canada,CAN,1997,0
Canada,CAN,1998,0
Canada,CAN,1999,0
Canada,CAN,2000,0
Canada,CAN,2001,0
Canada,CAN,2002,0
Canada,CAN,2003,61610000
Canada,CAN,2004,72150000
Canada,CAN,2005,83420000
Canada,CAN,2006,88250000
Canada,CAN,2007,83660000
Canada,CAN,2008,84370000
Canada,CAN,2009,78940000
Canada,CAN,2010,85620000
Canada,CAN,2011,89220000
Canada,CAN,2012,100510000
Canada,CAN,2013,81720000
Canada,CAN,2014,73410000
Canada,CAN,2015,63430000
Canada,CAN,2016,42010000
Canada,CAN,2017,7680000
